[30,5]
0	0.07	0.102648	0.307944	0.589408
0	0.2	-0.044242	-0.132726	1.176968
0	0.4	-0.02005	-0.060150	1.0802
0	0.6	-2.75E-10	-5.40E-10	1
0	0.8	-0.127266	-0.101574	1.22884
0	0.93	0.175931	0.527814	0.296255
5	0.07	-0.61983	-2.745612	4.365442
5	0.2	-0.455586	-2.714454	4.17004
5	0.4	0.01539	-1.522998	2.507608
5	0.6	8.50E-03	-1.108008	2.099512
5	0.8	0.03363	-0.665862	1.632232
5	0.93	-0.83599	-2.639028	4.475018
7.5	0.07	-0.672534	-4.465068	6.137602
7.5	0.2	-0.589638	-4.571604	6.161242
7.5	0.4	0.44217	-2.377428	2.935258
7.5	0.6	0.313214	-2.334822	3.021608
7.5	0.8	0.53643	-1.011222	1.474792
7.5	0.93	-0.32829	-2.984262	4.312552
10	0.07	-1.31805	-7.924662	10.242712
10	0.2	-2.14576	-11.416512	14.562272
10	0.4	0.0608	-6.2016	7.1408
10	0.6	0.699422	-3.950934	4.251512
10	0.8	0.51795	-2.521878	3.003928
10	0.93	-1.627836	-6.191754	8.81959
12.5	0.07	1.15625	-5.8125	5.65625
12.5	0.2	0.811914	-10.848372	11.036458
12.5	0.4	3.144588	-2.954106	0.809518
12.5	0.6	3.525422	-0.048534	-2.476888
12.5	0.8	1.802288	-0.832296	0.030008
12.5	0.93	-0.384444	-4.326666	5.71111
