[28,6]
0.07	0	0.0000000	0.0000000	0.1116870	0.8481510
0.07	5.5	0.0000000	0.0000000	0.3036080	0.6936410
0.07	12.5	0.0000000	0.0000000	0.6658270	0.4502290
0.07	25	-0.3546620	1.4162990	3.9257920	-3.8143820
0.2	0	0.0000000	0.0000000	0.1528620	0.7818300
0.2	5.5	0.0000000	0.0000000	0.3505700	0.6096200
0.2	12.5	0.0000000	0.0000000	0.6917570	0.4070270
0.2	25	0.0000000	1.5343320	-17.3279700	14.4004500
0.5	0	0.0000000	0.0000000	0.2514970	0.7054870
0.5	5.5	0.0000000	0.0000000	0.6616560	0.3488310
0.5	12.5	0.0000000	0.0000000	1.6011270	-0.4244870
0.5	25	2.7438780	-18.0978700	13.7316160	2.0885700
0.7	0	0.0000000	0.0000000	0.2802330	0.6973390
0.7	5.5	0.0000000	0.0000000	0.6932360	0.3469220
0.7	12.5	0.0000000	0.0000000	1.5667170	-0.3250880
0.7	25	-1.2137870	6.3018810	4.3709010	-6.9886370
0.8	0	0.0000000	0.0000000	0.3381310	0.6377940
0.8	5.5	0.0000000	0.0000000	0.7195540	0.3492860
0.8	12.5	0.0000000	0.0000000	1.3735690	-0.1759150
0.8	25.5	-0.4037910	1.5797640	5.2056540	-4.5333340
0.9	0	0.0000000	0.0000000	0.4364780	0.5557080
0.9	5.5	0.0000000	-0.1558090	1.5233910	-0.2666230
0.9	12.5	0.0000000	-0.2171660	2.2467000	-0.8555720
0.9	25	0.0000000	-0.7331770	6.2033640	-3.9413600
0.93	0	0.0000000	0.0000000	0.4642990	0.5354230
0.93	5.5	0.0000000	-0.1703100	1.5792310	-0.2944060
0.93	12.5	0.0000000	-0.2350910	2.2836800	-0.8539610
0.93	25	0.0000000	-0.6233800	5.1542610	-3.1653450
