[15,7]
0.5	90	0	9.325952	-16.031002	6.08061	2.162909
0.5	110	0	2.526807	-5.145221	3.28289	1.400238
0.5	130	0	0.200855	-1.520047	1.734472	1.275364
0.5	160	0	0.861888	-1.966841	1.561282	0.923007
0.5	180	0	4.15E-16	-0.107692	0.107692	0.975846
0.7	90	0	11.862859	-19.086364	6.79763	2.204853
0.7	110	0	1.79934	-2.526981	1.326103	1.631755
0.7	130	0	-0.069542	0.404196	0.124611	1.506259
0.7	160	0	1.003108	-0.873077	0.398465	1.093671
0.7	180	0	3.89E-16	0.449883	-0.449883	1.102028
0.9	90	-13.234266	47.482906	-48.637238	13.933178	2.493133
0.9	110	-18.269231	38.486402	-24.083741	4.338003	1.973497
0.9	130	-9.985431	17.831974	-8.056789	0.346156	1.844014
0.9	160	-8.458625	17.902681	-10.191521	1.433689	1.232881
0.9	180	-6.555944	13.106061	-7.364394	0.809767	1.244049
