[30,5]
0	0.07	0.391319	0.275277	0.305879
0	0.2	0.208852	0.045117	0.727577
0	0.4	0.176644	0.135403	0.657545
0	0.6	0.222872	0.219437	0.5177
0	0.8	0.352525	0.51124	0.095033
0	0.93	0.409298	0.101415	0.461285
5	0.07	0.313066	1.29096	-0.679717
5	0.2	0.262845	1.187068	-0.511316
5	0.4	0.198393	0.852449	-0.107538
5	0.6	0.202255	0.824728	-0.109405
5	0.8	0.266436	0.989084	-0.34636
5	0.93	0.378433	0.831703	-0.27258
7.5	0.07	0.355636	1.865418	-1.293254
7.5	0.2	0.256393	1.501845	-0.83996
7.5	0.4	0.195066	1.248485	-0.513001
7.5	0.6	0.179345	1.132885	-0.406631
7.5	0.8	0.248347	1.426085	-0.79038
7.5	0.93	0.286457	1.200878	-0.562477
10	0.07	0.162696	1.401255	-0.650645
10	0.2	0.14259	1.382313	-0.611037
10	0.4	0.072493	1.036706	-0.199349
10	0.6	0.062272	0.956828	-0.131138
10	0.8	0.116832	1.191314	-0.445541
10	0.93	0.111723	0.959598	-0.190495
12.5	0.07	0.187639	1.532033	-0.830662
12.5	0.2	0.113114	1.30869	-0.518821
12.5	0.4	0.090391	1.096843	-0.281639
12.5	0.6	0.058215	0.921987	-0.086177
12.5	0.8	0.138563	1.304438	-0.561468
12.5	0.93	0.115601	1.108345	-0.337801
