[30,5]
0	0.07	1.549121	4.008955	-4.558076
0	0.2	1.293432	3.376296	-3.669728
0	0.4	0.818276	2.757414	-2.575691
0	0.6	0.622491	2.463733	-2.086225
0	0.8	0.431822	2.206986	-1.638808
0	0.93	1.15475	3.567738	-3.722488
5	0.07	1.234668	3.821814	-4.056482
5	0.2	1.086419	3.381557	-3.467976
5	0.4	1.110227	3.330677	-3.440903
5	0.6	1.248462	3.745386	-3.993848
5	0.8	1.158504	3.817008	-3.975512
5	0.93	0.924129	3.214321	-3.13845
7.5	0.07	1.6176	4.7352	-5.352801
7.5	0.2	1.405914	4.082196	-4.48811
7.5	0.4	1.39227	4.047642	-4.439912
7.5	0.6	1.446764	4.209078	-4.655842
7.5	0.8	1.541118	4.623354	-5.164472
7.5	0.93	1.395	4.185	-4.58
10	0.07	1.728091	5.065453	-5.793544
10	0.2	1.675056	4.762584	-5.437641
10	0.4	1.632	4.6368	-5.2688
10	0.6	1.623354	4.746708	-5.370063
10	0.8	2.133661	5.767382	-6.900996
10	0.93	2.099225	5.670099	-6.769291
12.5	0.07	2.249115	6.239501	-7.488376
12.5	0.2	2.121972	5.826368	-6.948252
12.5	0.4	1.99874	5.578012	-6.576709
12.5	0.6	2.373076	6.268238	-7.641063
12.5	0.8	2.133851	5.94792	-7.081692
12.5	0.93	2.204859	6.021059	-7.225708
