[30,5]
0	0.07	-0.070887	0.335565	0.741492
0	0.2	-0.061746	0.39232	0.670057
0	0.4	-0.071734	0.370249	0.700161
0	0.6	-0.075213	0.280472	0.799646
0	0.8	-0.081452	0.261036	0.821341
0	0.93	-0.05991	0.441293	0.620374
5	0.07	-0.625867	-3.31499	4.938818
5	0.2	-0.700802	-3.691923	5.39902
5	0.4	-0.551417	-2.657088	4.208561
5	0.6	-0.394759	-1.857109	3.243966
5	0.8	-0.384892	-1.582766	2.964682
5	0.93	-0.471534	-1.938719	3.408053
7.5	0.07	-0.464735	-4.370468	5.827134
7.5	0.2	-0.484764	-4.700937	6.175447
7.5	0.4	-0.357666	-3.421083	4.761667
7.5	0.6	-0.430568	-3.272576	4.686477
7.5	0.8	-0.538978	-3.080677	4.608249
7.5	0.93	-0.295157	-2.106807	3.39147
10	0.07	-0.445623	-5.965503	7.414155
10	0.2	-0.562911	-8.352512	9.919405
10	0.4	-0.303556	-5.104654	6.409214
10	0.6	-0.396287	-4.685712	6.096834
10	0.8	-0.326486	-3.146084	4.485651
10	0.93	-0.491857	-3.607476	5.109896
12.5	0.07	0.39952	-6.357705	6.938206
12.5	0.2	0.560605	-10.512008	10.939653
12.5	0.4	0.460531	-5.146305	5.668398
12.5	0.6	0.052937	-4.346084	5.273574
12.5	0.8	-0.17023	-3.285382	4.448491
12.5	0.93	-0.489256	-4.363034	5.840238
